Date,AveragePrice,region
13-09-15,1.09,BaltimoreWashington
06-09-15,1.18,BaltimoreWashington
30-08-15,1.24,BaltimoreWashington
23-08-15,1.16,BaltimoreWashington
16-08-15,1.14,BaltimoreWashington
09-08-15,1.16,BaltimoreWashington
02-08-15,1.17,BaltimoreWashington
26-07-15,1.2,BaltimoreWashington
19-07-15,1.18,BaltimoreWashington
12-07-15,1.1,BaltimoreWashington
05-07-15,1.16,BaltimoreWashington
28-06-15,1.15,BaltimoreWashington
21-06-15,1.16,BaltimoreWashington
14-06-15,1.09,BaltimoreWashington
07-06-15,1.26,BaltimoreWashington
31-05-15,1.19,BaltimoreWashington
24-05-15,1.18,BaltimoreWashington
17-05-15,1.27,BaltimoreWashington
10-05-15,1.26,BaltimoreWashington
03-05-15,1.17,BaltimoreWashington
26-04-15,1.29,BaltimoreWashington
19-04-15,1.28,BaltimoreWashington
12-04-15,1.15,BaltimoreWashington
05-04-15,1.29,BaltimoreWashington
29-03-15,1.25,BaltimoreWashington
22-03-15,1.1,BaltimoreWashington
15-03-15,1.24,BaltimoreWashington
08-03-15,1.26,BaltimoreWashington
01-03-15,1.16,BaltimoreWashington
22-02-15,1.11,BaltimoreWashington
15-02-15,1.25,BaltimoreWashington
08-02-15,1.09,BaltimoreWashington
01-02-15,1.06,BaltimoreWashington
25-01-15,1.2,BaltimoreWashington
18-01-15,1.23,BaltimoreWashington
11-01-15,1.17,BaltimoreWashington
04-01-15,1.08,BaltimoreWashington
27-12-15,0.97,Boise
20-12-15,1.03,Boise
13-12-15,0.99,Boise
06-12-15,0.71,Boise
29-11-15,1.06,Boise
22-11-15,1.09,Boise
15-11-15,1.01,Boise
08-11-15,1.11,Boise
01-11-15,1.14,Boise
25-10-15,1.11,Boise
18-10-15,1.16,Boise
11-10-15,0.94,Boise
04-10-15,1.12,Boise
27-09-15,0.99,Boise
20-09-15,1.03,Boise
13-09-15,1.08,Boise
06-09-15,1.16,Boise
30-08-15,1.19,Boise
23-08-15,1.05,Boise
16-08-15,1.12,Boise
09-08-15,1.1,Boise
02-08-15,1.07,Boise
26-07-15,1.07,Boise
19-07-15,1.09,Boise
12-07-15,1.05,Boise
05-07-15,1.15,Boise
28-06-15,1.04,Boise
21-06-15,1.06,Boise
14-06-15,0.99,Boise
07-06-15,1.12,Boise
31-05-15,0.97,Boise
24-05-15,1.03,Boise
17-05-15,0.96,Boise
10-05-15,1.06,Boise
03-05-15,1,Boise
26-04-15,0.96,Boise
19-04-15,0.99,Boise
12-04-15,1.19,Boise
05-04-15,1.09,Boise
29-03-15,0.98,Boise
22-03-15,1.17,Boise
15-03-15,1,Boise
08-03-15,1.14,Boise
01-03-15,1.06,Boise
22-02-15,0.99,Boise
15-02-15,1.14,Boise
08-02-15,1.07,Boise
01-02-15,0.91,Boise
25-01-15,1.03,Boise
18-01-15,1.08,Boise
11-01-15,1.18,Boise
04-01-15,1.01,Boise
27-12-15,1.13,Boston
20-12-15,1.07,Boston
13-12-15,1.01,Boston
06-12-15,1.02,Boston
29-11-15,1.19,Boston
22-11-15,1.07,Boston
15-11-15,1.05,Boston
08-11-15,1.04,Boston
01-11-15,1.06,Boston
25-10-15,1.02,Boston
18-10-15,0.94,Boston
11-10-15,1.14,Boston
04-10-15,1.07,Boston
27-09-15,1.07,Boston
20-09-15,1.15,Boston
13-09-15,1.03,Boston
06-09-15,1.11,Boston
30-08-15,1.13,Boston
23-08-15,1.07,Boston
16-08-15,1.15,Boston
09-08-15,1.07,Boston
02-08-15,1.17,Boston
26-07-15,1.28,Boston
19-07-15,1.18,Boston
12-07-15,1.14,Boston
05-07-15,1.27,Boston
28-06-15,1.25,Boston
21-06-15,1.24,Boston
14-06-15,1.08,Boston
07-06-15,1.25,Boston
31-05-15,1.26,Boston
24-05-15,1.14,Boston
17-05-15,1.26,Boston
10-05-15,1.14,Boston
03-05-15,1.17,Boston
26-04-15,1.28,Boston
19-04-15,1.15,Boston
12-04-15,1.26,Boston
05-04-15,1.27,Boston
29-03-15,1.19,Boston
22-03-15,1.18,Boston
15-03-15,1.25,Boston
08-03-15,1.17,Boston
01-03-15,1.11,Boston
22-02-15,1.23,Boston
15-02-15,1.2,Boston
08-02-15,1.04,Boston
01-02-15,1.22,Boston
25-01-15,1.17,Boston
18-01-15,1.23,Boston
11-01-15,1.1,Boston
04-01-15,1.02,Boston
27-12-15,1.35,BuffaloRochester
20-12-15,1.37,BuffaloRochester
13-12-15,1.35,BuffaloRochester
06-12-15,1.23,BuffaloRochester
29-11-15,1.39,BuffaloRochester
22-11-15,1.4,BuffaloRochester
15-11-15,1.36,BuffaloRochester
08-11-15,1.3,BuffaloRochester
01-11-15,1.23,BuffaloRochester
25-10-15,1.36,BuffaloRochester
18-10-15,1.29,BuffaloRochester
11-10-15,1.3,BuffaloRochester
04-10-15,1.33,BuffaloRochester
27-09-15,1.31,BuffaloRochester
20-09-15,1.54,BuffaloRochester
13-09-15,1.59,BuffaloRochester
06-09-15,1.56,BuffaloRochester
30-08-15,1.38,BuffaloRochester
23-08-15,1.49,BuffaloRochester
16-08-15,1.5,BuffaloRochester
09-08-15,1.47,BuffaloRochester
02-08-15,1.47,BuffaloRochester
26-07-15,1.39,BuffaloRochester
19-07-15,1.36,BuffaloRochester
12-07-15,1.45,BuffaloRochester
05-07-15,1.47,BuffaloRochester
28-06-15,1.36,BuffaloRochester
21-06-15,1.5,BuffaloRochester
14-06-15,1.34,BuffaloRochester
07-06-15,1.38,BuffaloRochester
31-05-15,1.4,BuffaloRochester
24-05-15,1.43,BuffaloRochester
17-05-15,1.35,BuffaloRochester
10-05-15,1.33,BuffaloRochester
03-05-15,1.42,BuffaloRochester
26-04-15,1.41,BuffaloRochester
19-04-15,1.42,BuffaloRochester
12-04-15,1.42,BuffaloRochester
05-04-15,1.44,BuffaloRochester
29-03-15,1.39,BuffaloRochester
22-03-15,1.4,BuffaloRochester
15-03-15,1.47,BuffaloRochester
08-03-15,1.35,BuffaloRochester
01-03-15,1.43,BuffaloRochester
22-02-15,1.41,BuffaloRochester
15-02-15,1.44,BuffaloRochester
08-02-15,1.36,BuffaloRochester
01-02-15,1.33,BuffaloRochester
25-01-15,1.5,BuffaloRochester
18-01-15,1.52,BuffaloRochester
11-01-15,1.54,BuffaloRochester
04-01-15,1.4,BuffaloRochester
27-12-15,0.9,California
20-12-15,0.94,California
13-12-15,0.87,California
06-12-15,0.78,California
29-11-15,0.91,California
22-11-15,0.92,California
15-11-15,0.83,California
08-11-15,0.98,California
01-11-15,0.95,California
25-10-15,1.12,California
18-10-15,1.07,California
11-10-15,1.08,California
04-10-15,1.02,California
27-09-15,1.04,California
20-09-15,1.14,California
13-09-15,1.13,California
06-09-15,1.09,California
30-08-15,1.08,California
23-08-15,1.18,California
16-08-15,1.11,California
09-08-15,1.1,California
02-08-15,1.16,California
26-07-15,1.13,California
19-07-15,1.18,California
12-07-15,1.13,California
05-07-15,1.12,California
28-06-15,1.1,California
21-06-15,1.07,California
14-06-15,0.97,California
07-06-15,0.98,California
31-05-15,0.98,California
24-05-15,1.1,California
17-05-15,1.08,California
10-05-15,0.93,California
03-05-15,0.88,California
26-04-15,1.15,California
19-04-15,1.05,California
12-04-15,1.06,California
05-04-15,1.12,California
29-03-15,1.1,California
22-03-15,1.06,California
15-03-15,1.06,California
08-03-15,0.96,California
01-03-15,0.84,California
22-02-15,0.96,California
15-02-15,0.96,California
08-02-15,0.91,California
01-02-15,0.85,California
25-01-15,1.06,California
18-01-15,1.02,California
11-01-15,0.92,California
04-01-15,0.93,California
27-12-15,0.96,Charlotte
20-12-15,0.98,Charlotte
13-12-15,0.95,Charlotte
06-12-15,0.99,Charlotte
29-11-15,0.95,Charlotte
22-11-15,1,Charlotte
15-11-15,1.01,Charlotte
08-11-15,1.03,Charlotte
01-11-15,1.11,Charlotte
25-10-15,1.27,Charlotte
18-10-15,1.26,Charlotte
11-10-15,1.14,Charlotte
04-10-15,1.22,Charlotte
27-09-15,1.09,Charlotte
20-09-15,1.2,Charlotte
13-09-15,1.19,Charlotte
06-09-15,1.01,Charlotte
30-08-15,1.2,Charlotte
23-08-15,1.15,Charlotte
16-08-15,1.24,Charlotte
09-08-15,1.21,Charlotte
02-08-15,1.24,Charlotte
26-07-15,1.23,Charlotte
19-07-15,1.19,Charlotte
12-07-15,1.18,Charlotte
05-07-15,1.18,Charlotte
28-06-15,1.17,Charlotte
21-06-15,1.17,Charlotte
14-06-15,1.15,Charlotte
07-06-15,1.15,Charlotte
31-05-15,1.19,Charlotte
24-05-15,1.2,Charlotte
17-05-15,1.21,Charlotte
10-05-15,1.19,Charlotte
03-05-15,1,Charlotte
26-04-15,1.2,Charlotte
19-04-15,1.18,Charlotte
12-04-15,1.17,Charlotte
05-04-15,1.19,Charlotte
29-03-15,1.23,Charlotte
22-03-15,1.19,Charlotte
15-03-15,1.19,Charlotte
08-03-15,1.25,Charlotte
01-03-15,1.18,Charlotte
22-02-15,1.08,Charlotte
15-02-15,1.22,Charlotte
08-02-15,1.17,Charlotte
01-02-15,0.98,Charlotte
25-01-15,1.18,Charlotte
18-01-15,1.25,Charlotte
11-01-15,1.26,Charlotte
04-01-15,1.19,Charlotte
27-12-15,0.93,Chicago
20-12-15,0.91,Chicago
13-12-15,1.07,Chicago
06-12-15,1.14,Chicago
29-11-15,1.11,Chicago
22-11-15,0.94,Chicago
15-11-15,1.17,Chicago
08-11-15,1.01,Chicago
01-11-15,1,Chicago
25-10-15,1.12,Chicago
18-10-15,1.15,Chicago
11-10-15,1.08,Chicago
04-10-15,1.18,Chicago
27-09-15,1.15,Chicago
20-09-15,1.19,Chicago
13-09-15,1.19,Chicago
06-09-15,1.11,Chicago
30-08-15,1.12,Chicago
23-08-15,1.2,Chicago
16-08-15,1.16,Chicago
09-08-15,1.25,Chicago
02-08-15,1.27,Chicago
26-07-15,1.12,Chicago
19-07-15,1.24,Chicago
12-07-15,1.26,Chicago
05-07-15,1.24,Chicago
28-06-15,1.21,Chicago
21-06-15,1.24,Chicago
14-06-15,1.21,Chicago
07-06-15,1.24,Chicago
31-05-15,1.26,Chicago
24-05-15,1.23,Chicago
17-05-15,1.23,Chicago
10-05-15,1.23,Chicago
03-05-15,1.04,Chicago
26-04-15,1.24,Chicago
19-04-15,1.24,Chicago
12-04-15,1.24,Chicago
05-04-15,1.27,Chicago
29-03-15,1.22,Chicago
22-03-15,1.21,Chicago
15-03-15,1.09,Chicago
08-03-15,1.18,Chicago
01-03-15,1.09,Chicago
22-02-15,1.18,Chicago
15-02-15,1.17,Chicago
08-02-15,1.13,Chicago
01-02-15,0.91,Chicago
25-01-15,1.22,Chicago
18-01-15,1.14,Chicago
11-01-15,1.15,Chicago
04-01-15,1.11,Chicago
27-12-15,0.87,CincinnatiDayton
20-12-15,0.85,CincinnatiDayton
13-12-15,0.79,CincinnatiDayton
06-12-15,0.83,CincinnatiDayton
29-11-15,0.88,CincinnatiDayton
22-11-15,0.89,CincinnatiDayton
15-11-15,0.88,CincinnatiDayton
08-11-15,0.87,CincinnatiDayton
01-11-15,0.93,CincinnatiDayton
25-10-15,1.01,CincinnatiDayton
18-10-15,0.98,CincinnatiDayton
11-10-15,0.91,CincinnatiDayton
04-10-15,0.93,CincinnatiDayton
27-09-15,1.08,CincinnatiDayton
20-09-15,1.05,CincinnatiDayton
13-09-15,1.05,CincinnatiDayton
06-09-15,1.02,CincinnatiDayton
30-08-15,1.01,CincinnatiDayton
23-08-15,1.05,CincinnatiDayton
16-08-15,1.01,CincinnatiDayton
09-08-15,1.08,CincinnatiDayton
02-08-15,1.09,CincinnatiDayton
26-07-15,1.03,CincinnatiDayton
19-07-15,1.06,CincinnatiDayton
12-07-15,1.03,CincinnatiDayton
05-07-15,1.03,CincinnatiDayton
28-06-15,1.01,CincinnatiDayton
21-06-15,1.02,CincinnatiDayton
14-06-15,1.05,CincinnatiDayton
07-06-15,1.07,CincinnatiDayton
31-05-15,1.06,CincinnatiDayton
24-05-15,1.1,CincinnatiDayton
17-05-15,1.04,CincinnatiDayton
10-05-15,1.06,CincinnatiDayton
03-05-15,1.08,CincinnatiDayton
26-04-15,1.06,CincinnatiDayton
19-04-15,1.02,CincinnatiDayton
12-04-15,1.02,CincinnatiDayton
05-04-15,1.06,CincinnatiDayton
29-03-15,0.95,CincinnatiDayton
22-03-15,0.98,CincinnatiDayton
15-03-15,0.94,CincinnatiDayton
08-03-15,0.87,CincinnatiDayton
01-03-15,0.89,CincinnatiDayton
22-02-15,0.93,CincinnatiDayton
15-02-15,0.94,CincinnatiDayton
08-02-15,0.93,CincinnatiDayton
01-02-15,0.86,CincinnatiDayton
25-01-15,0.93,CincinnatiDayton
18-01-15,0.93,CincinnatiDayton
11-01-15,0.92,CincinnatiDayton
04-01-15,0.88,CincinnatiDayton
27-12-15,0.99,Columbus
20-12-15,1.03,Columbus
13-12-15,1.03,Columbus
06-12-15,0.99,Columbus
29-11-15,1.03,Columbus
22-11-15,1.04,Columbus
15-11-15,0.99,Columbus
08-11-15,0.95,Columbus
01-11-15,0.99,Columbus
25-10-15,1.04,Columbus
18-10-15,0.98,Columbus
11-10-15,0.9,Columbus
04-10-15,0.93,Columbus
27-09-15,1.02,Columbus
20-09-15,1,Columbus
13-09-15,1.02,Columbus
06-09-15,1.04,Columbus
30-08-15,1.03,Columbus
23-08-15,1.08,Columbus
16-08-15,1.03,Columbus
09-08-15,1,Columbus
02-08-15,1.05,Columbus
26-07-15,1.02,Columbus
19-07-15,1.05,Columbus
12-07-15,1.04,Columbus
05-07-15,0.98,Columbus
28-06-15,0.94,Columbus
21-06-15,0.99,Columbus
14-06-15,1.01,Columbus
07-06-15,1.03,Columbus
31-05-15,1.1,Columbus
24-05-15,1.01,Columbus
17-05-15,1,Columbus
10-05-15,1.1,Columbus
03-05-15,0.99,Columbus
26-04-15,1.02,Columbus
19-04-15,1,Columbus
12-04-15,1.07,Columbus
05-04-15,1.09,Columbus
29-03-15,0.96,Columbus
22-03-15,0.94,Columbus
15-03-15,1.01,Columbus
08-03-15,0.95,Columbus
01-03-15,1.03,Columbus
22-02-15,1.09,Columbus
15-02-15,1.05,Columbus
08-02-15,0.96,Columbus
01-02-15,0.87,Columbus
25-01-15,1.08,Columbus
18-01-15,1.02,Columbus
11-01-15,0.97,Columbus
04-01-15,0.89,Columbus
27-12-15,0.8,DallasFtWorth
20-12-15,0.82,DallasFtWorth
13-12-15,0.79,DallasFtWorth
06-12-15,0.74,DallasFtWorth
29-11-15,0.8,DallasFtWorth
22-11-15,0.78,DallasFtWorth
15-11-15,0.71,DallasFtWorth
08-11-15,0.8,DallasFtWorth
01-11-15,0.78,DallasFtWorth
25-10-15,0.86,DallasFtWorth
18-10-15,0.83,DallasFtWorth
11-10-15,0.81,DallasFtWorth
04-10-15,0.82,DallasFtWorth
27-09-15,0.84,DallasFtWorth
20-09-15,0.77,DallasFtWorth
13-09-15,0.86,DallasFtWorth
06-09-15,0.84,DallasFtWorth
30-08-15,0.82,DallasFtWorth
23-08-15,0.85,DallasFtWorth
16-08-15,0.88,DallasFtWorth
09-08-15,0.85,DallasFtWorth
02-08-15,0.87,DallasFtWorth
26-07-15,0.8,DallasFtWorth
19-07-15,0.82,DallasFtWorth
12-07-15,0.82,DallasFtWorth
05-07-15,0.83,DallasFtWorth
28-06-15,0.77,DallasFtWorth
21-06-15,0.75,DallasFtWorth
14-06-15,0.65,DallasFtWorth
07-06-15,0.73,DallasFtWorth
31-05-15,0.68,DallasFtWorth
24-05-15,0.81,DallasFtWorth
17-05-15,0.73,DallasFtWorth
10-05-15,0.75,DallasFtWorth
03-05-15,0.77,DallasFtWorth
26-04-15,0.81,DallasFtWorth
19-04-15,0.8,DallasFtWorth
12-04-15,0.72,DallasFtWorth
05-04-15,0.77,DallasFtWorth
29-03-15,0.79,DallasFtWorth
22-03-15,0.67,DallasFtWorth
15-03-15,0.72,DallasFtWorth
08-03-15,0.75,DallasFtWorth
01-03-15,0.82,DallasFtWorth
22-02-15,0.8,DallasFtWorth
15-02-15,0.77,DallasFtWorth
08-02-15,0.67,DallasFtWorth
01-02-15,0.68,DallasFtWorth
25-01-15,0.8,DallasFtWorth
18-01-15,0.76,DallasFtWorth
11-01-15,0.76,DallasFtWorth
04-01-15,0.74,DallasFtWorth
27-12-15,0.98,Denver
20-12-15,1.05,Denver
13-12-15,0.83,Denver
06-12-15,0.76,Denver
29-11-15,1.12,Denver
22-11-15,0.85,Denver
15-11-15,0.82,Denver
08-11-15,0.93,Denver
01-11-15,0.82,Denver
25-10-15,0.93,Denver
18-10-15,0.87,Denver
11-10-15,0.9,Denver
04-10-15,1.02,Denver
27-09-15,0.97,Denver
20-09-15,0.98,Denver
13-09-15,1.01,Denver
06-09-15,1.09,Denver
30-08-15,1.14,Denver
23-08-15,1.2,Denver
16-08-15,1.17,Denver
09-08-15,1.09,Denver
02-08-15,1.05,Denver
26-07-15,1.18,Denver
19-07-15,1.1,Denver
12-07-15,1.18,Denver
05-07-15,1.19,Denver
28-06-15,1.2,Denver
21-06-15,1.16,Denver
14-06-15,1.16,Denver
07-06-15,1.11,Denver
31-05-15,1.26,Denver
24-05-15,1.16,Denver
17-05-15,1.21,Denver
10-05-15,1.08,Denver
03-05-15,1.01,Denver
26-04-15,1.19,Denver
19-04-15,1.08,Denver
12-04-15,1.05,Denver
05-04-15,1.19,Denver
29-03-15,1.11,Denver
22-03-15,1.15,Denver
15-03-15,1.03,Denver
08-03-15,1.03,Denver
01-03-15,1.03,Denver
22-02-15,1,Denver
15-02-15,1.12,Denver
08-02-15,0.95,Denver
01-02-15,0.93,Denver
25-01-15,1.02,Denver
18-01-15,0.99,Denver
11-01-15,1.09,Denver
04-01-15,0.99,Denver
27-12-15,1.08,Detroit
20-12-15,1.1,Detroit
13-12-15,1.05,Detroit
06-12-15,0.98,Detroit
29-11-15,1.11,Detroit
22-11-15,1.09,Detroit
15-11-15,1.1,Detroit
08-11-15,1.03,Detroit
01-11-15,1.04,Detroit
25-10-15,1.17,Detroit
18-10-15,0.97,Detroit
11-10-15,0.99,Detroit
04-10-15,1.1,Detroit
27-09-15,1.17,Detroit
20-09-15,1,Detroit
13-09-15,1.03,Detroit
06-09-15,1.09,Detroit
30-08-15,0.96,Detroit
23-08-15,1.11,Detroit
16-08-15,0.97,Detroit
09-08-15,1.07,Detroit
02-08-15,1.04,Detroit
26-07-15,0.99,Detroit
19-07-15,1.04,Detroit
12-07-15,1.02,Detroit
05-07-15,1.06,Detroit
28-06-15,1,Detroit
21-06-15,0.97,Detroit
14-06-15,1.04,Detroit
07-06-15,0.97,Detroit
31-05-15,1.09,Detroit
24-05-15,1.03,Detroit
17-05-15,0.95,Detroit
10-05-15,1.11,Detroit
03-05-15,1.06,Detroit
26-04-15,1.01,Detroit
19-04-15,0.96,Detroit
12-04-15,1.02,Detroit
05-04-15,1.11,Detroit
29-03-15,0.97,Detroit
22-03-15,0.97,Detroit
15-03-15,1.13,Detroit
08-03-15,1.01,Detroit
01-03-15,0.97,Detroit
22-02-15,1.15,Detroit
15-02-15,1.16,Detroit
08-02-15,1.11,Detroit
01-02-15,0.92,Detroit
25-01-15,1.19,Detroit
18-01-15,1.1,Detroit
11-01-15,1.08,Detroit
04-01-15,1.01,Detroit
27-12-15,1.13,GrandRapids
20-12-15,1.13,GrandRapids
13-12-15,1.24,GrandRapids
06-12-15,0.93,GrandRapids
29-11-15,1.12,GrandRapids
22-11-15,1.11,GrandRapids
15-11-15,1.2,GrandRapids
08-11-15,0.93,GrandRapids
01-11-15,0.91,GrandRapids
25-10-15,1.14,GrandRapids
18-10-15,0.94,GrandRapids
11-10-15,0.97,GrandRapids
04-10-15,0.99,GrandRapids
27-09-15,1.15,GrandRapids
20-09-15,0.88,GrandRapids
13-09-15,0.95,GrandRapids
06-09-15,1.09,GrandRapids
30-08-15,0.91,GrandRapids
23-08-15,1.28,GrandRapids
16-08-15,0.89,GrandRapids
09-08-15,1.08,GrandRapids
02-08-15,1.05,GrandRapids
26-07-15,1.12,GrandRapids
19-07-15,1.05,GrandRapids
12-07-15,1.19,GrandRapids
05-07-15,1.16,GrandRapids
28-06-15,1.1,GrandRapids
21-06-15,0.96,GrandRapids
14-06-15,1.07,GrandRapids
07-06-15,1.14,GrandRapids
31-05-15,1.31,GrandRapids
24-05-15,1.3,GrandRapids
17-05-15,0.97,GrandRapids
10-05-15,1.36,GrandRapids
03-05-15,1.06,GrandRapids
26-04-15,1.09,GrandRapids
19-04-15,0.93,GrandRapids
12-04-15,1.13,GrandRapids
05-04-15,1.22,GrandRapids
29-03-15,1.11,GrandRapids
22-03-15,0.91,GrandRapids
15-03-15,1.35,GrandRapids
08-03-15,1.08,GrandRapids
01-03-15,0.95,GrandRapids
22-02-15,1.31,GrandRapids
15-02-15,1.21,GrandRapids
08-02-15,1.24,GrandRapids
01-02-15,0.94,GrandRapids
25-01-15,1.19,GrandRapids
18-01-15,1.07,GrandRapids
11-01-15,1.03,GrandRapids
04-01-15,0.95,GrandRapids
27-12-15,1.01,GreatLakes
20-12-15,1.01,GreatLakes
13-12-15,1.03,GreatLakes
06-12-15,1,GreatLakes
29-11-15,1.07,GreatLakes
22-11-15,1.03,GreatLakes
15-11-15,1.09,GreatLakes
08-11-15,0.98,GreatLakes
01-11-15,1,GreatLakes
25-10-15,1.1,GreatLakes
18-10-15,1.03,GreatLakes
11-10-15,1.02,GreatLakes
04-10-15,1.05,GreatLakes
27-09-15,1.1,GreatLakes
20-09-15,1.02,GreatLakes
13-09-15,1.03,GreatLakes
06-09-15,1.07,GreatLakes
30-08-15,1.04,GreatLakes
23-08-15,1.14,GreatLakes
16-08-15,1.03,GreatLakes
09-08-15,1.12,GreatLakes
02-08-15,1.14,GreatLakes
26-07-15,1.1,GreatLakes
19-07-15,1.12,GreatLakes
12-07-15,1.14,GreatLakes
05-07-15,1.13,GreatLakes
28-06-15,1.07,GreatLakes
21-06-15,1.08,GreatLakes
14-06-15,1.12,GreatLakes
07-06-15,1.13,GreatLakes
31-05-15,1.2,GreatLakes
24-05-15,1.15,GreatLakes
17-05-15,1.09,GreatLakes
10-05-15,1.15,GreatLakes
03-05-15,1.05,GreatLakes
26-04-15,1.14,GreatLakes
19-04-15,1.06,GreatLakes
12-04-15,1.11,GreatLakes
05-04-15,1.18,GreatLakes
29-03-15,1.09,GreatLakes
22-03-15,1.04,GreatLakes
15-03-15,1.1,GreatLakes
08-03-15,1.04,GreatLakes
01-03-15,1.02,GreatLakes
22-02-15,1.16,GreatLakes
15-02-15,1.15,GreatLakes
08-02-15,1.07,GreatLakes
01-02-15,0.91,GreatLakes
25-01-15,1.13,GreatLakes
18-01-15,1.08,GreatLakes
11-01-15,1.1,GreatLakes
04-01-15,1.02,GreatLakes
27-12-15,1.16,HarrisburgScranton
20-12-15,1.11,HarrisburgScranton
13-12-15,1.14,HarrisburgScranton
06-12-15,1.1,HarrisburgScranton
29-11-15,1.17,HarrisburgScranton
22-11-15,1.16,HarrisburgScranton
15-11-15,1.09,HarrisburgScranton
08-11-15,1.09,HarrisburgScranton
01-11-15,1.13,HarrisburgScranton
25-10-15,1.11,HarrisburgScranton
18-10-15,0.93,HarrisburgScranton
11-10-15,1.05,HarrisburgScranton
04-10-15,1.16,HarrisburgScranton
27-09-15,1.15,HarrisburgScranton
20-09-15,1.17,HarrisburgScranton
13-09-15,1.07,HarrisburgScranton
06-09-15,1.19,HarrisburgScranton
30-08-15,1.18,HarrisburgScranton
23-08-15,1.1,HarrisburgScranton
16-08-15,1.09,HarrisburgScranton
09-08-15,1.07,HarrisburgScranton
02-08-15,1.1,HarrisburgScranton
26-07-15,1.17,HarrisburgScranton
19-07-15,1.19,HarrisburgScranton
12-07-15,1.17,HarrisburgScranton
05-07-15,1.19,HarrisburgScranton
28-06-15,1.2,HarrisburgScranton
21-06-15,1.19,HarrisburgScranton
14-06-15,1.13,HarrisburgScranton
07-06-15,1.21,HarrisburgScranton
31-05-15,1.22,HarrisburgScranton
24-05-15,1.21,HarrisburgScranton
